,ID,,Titles,Date,Author,Technique,Height(cm),Width(cm),Origin,Support
0,P007269,116,Parte Superior Del Pantocrátor Sostenido Por Cuatro Ángeles. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,249,327,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948",Revestimiento mural trasladado a lienzo
1,P007270,87,Parte Inferior Del Pantocrátor. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,249,327,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
2,P007271,69,La Magdalena. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,200,263,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
3,P007272,81,Adoración De Un Rey Mago. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,200,185,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
4,P007273,95,Dos Apóstoles Y El Resto De Un Tercero. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,185,243,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
5,P007274,70,Dos Apóstoles. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,185,220,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
6,P007275,97,Caín (O Melquisedec) Presentando Ofrenda. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,200,200,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
7,P007276,82,Abel Presentando Ofrendas. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,200,245,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
8,P007277,76,Intradós De Ventana. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,140,75,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
9,P007278,89,Dos Ángeles Y Un Santo Arzobispo. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,181,283,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
10,P007279,93,El Evangelista San Marcos Y Un Ángel. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,181,214,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
11,P007280,86,Enjuta Izquierda Arco Entrada. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,200,223,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
