,ID,Titles,Date,Author,Technique,Height(cm),Width(cm),Origin,Support
0,P007269,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,249,327,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948",Revestimiento mural trasladado a lienzo
1,P007270,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,249,327,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
2,P007271,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,200,263,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
3,P007272,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,200,185,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
4,P007273,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,185,243,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
5,P007274,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,185,220,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
6,P007275,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,200,200,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
7,P007276,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,200,245,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
8,P007277,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,140,75,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
9,P007278,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,181,283,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
10,P007279,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,181,214,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
11,P007280,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,200,223,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
12,P007281,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,200,223,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
13,P007283,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,186,252,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
14,P007282,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,190,308,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
15,P007286,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,190,189,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
16,P007287,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,190,274,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
17,P007284,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,203,207,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
18,P007285,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,203,239,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
19,P007263,"Oso, ",Hacia  1125,Anónimo,Pintura al fresco,201,113,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
20,P007264,Elefante,Hacia  1125,Anónimo,Pintura al fresco,205,135,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
21,P007265,"Cacería de liebres,",Hacia  1125,Anónimo,Pintura al fresco,183,355,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
22,P007266,Soldado o montero,Hacia  1125,Anónimo,Pintura al fresco,288,130,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
23,P007267,Cortina,Hacia  1125,Anónimo,Pintura al fresco,156,112,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
24,P007268,Cacería del ciervo,Hacia  1125,Anónimo,Pintura al fresco,185,246,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
25,P008119,"Donación Várez Fisa,",1200 - 1210,Maestro de Lluça,Temple,102,"108,3","Capilla de la Magdalena de Solanllong, cerca de Ripoll (Gerona); colección Esteban Planas, Olot, 1935; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",Tabla
26,P008126,"Donación Várez Fisa,",1200 - 1215,Maestro de San Esteve de Andorra,Pintura al fresco,"241,5",202,"Ábside central de la iglesia de Sant Esteve, Andorra la Vella (hasta 1924-1928); colección Ròmul Bosch i Rius, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",Revestimiento mural trasladado a lienzo
27,P008118,"Donación Várez Fisa, ",Primer tercio del siglo XIII,Anónimo,Temple,104,"135,5","Ermita mozárabe de Nuestra Señora de Peñalba, Arnedillo (La Rioja); Iglesia parroquial, Arnedillo, 1941-1945; colección Emilio Bernardo de Quirós, Madrid, 1945; colección Várez Fisa, Madrid; Donación Familia Várez Fisa, 2013.",Tabla
28,P003055,Frontal de Guils,Finales del siglo XIII,Anónimo,Temple,92,175,"Iglesia de San Esteban de Guils, Cerdaña; colección Plandiura, Barcelona; adquirido por el Museo del Prado a J. A Maragall, Barcelona, 1963.",Tabla
29,P003150,Retablo de san Cristóbal,Finales del siglo XIII,Anónimo,Temple,"275,3","189,1","Donación José Luis Várez Fisa, 1970.",Tabla
30,P002676,La Virgen de la Humildad con donante,Siglo XIV,"Serra, Hermanos",Temple,58,32,"Legado Pablo Bosch y Barrau, 1916",Tabla
31,P002944,La Virgen con el Niño,Hacia  1345,"Traini, Francesco",Dorado,48,42,Colección Real,Tabla
32,P003107,Marcos,1356 - 1359,"Serra, Jaume",Temple,280,92,Santuario de Nuestra Señora de Tobed (Zaragoza); adquirida para el Museo del Prado a José Bardolet en 1965.,Tabla
33,P002535,Retablo de la leyenda de Santa Lucía,1357 - 1385,Maestro de Estamariú,Temple,161,97,"Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lleida; adquisición a Apolinar Sánchez Villaba, 1931.",Tabla
34,P002536,Retablo de la leyenda de Santa Lucía,1357 - 1385,Maestro de Estamariú,Temple,161,97,"Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lérida; adquisición a Apolinar Sánchez Villalba, 1931.",Tabla
35,P003106,Lucas,1359 - 1362,"Serra, Jaume",Temple,280,92,Santuario de Nuestra Señora de Tobed (Zaragoza); adquirida para el Museo del Prado a José Bardolet en 1965.,Tabla
36,P008117,Retablo de la Magdalena,1359 - 1362,"Serra, Jaume",Temple,"161,4","117,8","Iglesia de Santa María de Tobed, hasta final siglo XIX; colección de Román Vicente, Zaragoza, 1908; Fernando Birk Crecelius, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",Tabla
37,P002841,San Eloy ante el rey Clorario,Hacia  1370,Maestro de la Madonna della Misericordia,Dorado,35,39,"Donación Francisco de Asís Cambó Batlle, 1941; Colección Francisco de Asís Cambó, Barcelona, 1929-1941; Colección Joseph Spiridon, Paris, ¿1988?-1929; Colección Toscanelli, Pontedera, 1883.",Tabla
38,P002842,San Eloy en el taller de orfebrería,Hacia  1370,Maestro de la Madonna della Misericordia,Dorado,35,39,"Donación Francisco de Asís Cambó Batlle, 1941; Colección Francisco de Asís Cambó, Barcelona, 1929-1941; Col. Joseph Spiridon, Paris,¿1988?-1929; Col. Toscanelli, Pontedera, 1883.",Tabla
39,P002675,Crucifixión,1375 - 1400,"Borrassà, Luis",Temple,48,35,"Legado Pablo Bosch y Barrau, 1916",Tabla
