,ID,Titles,Date,Author,Technique,Height(cm),Width(cm),Series,Origin,Support
0,P007269,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,249,327,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_a331fb54-a6d4-4732-8509-daf462aa92bb_391cff5b-adf6-4d58-8b4a-b5bfc8136026"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948",Revestimiento mural trasladado a lienzo
1,P007270,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,249,327,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_c6906e66-1285-4dc9-b203-929966e4354e_5e7e2578-0fd8-4f39-9b0d-9efca3d245b7"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
2,P007271,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,200,263,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_0ad8f53d-8249-40b0-9e75-73d59f0ec014_80a6d2b6-de70-4ff0-9ea3-36880fc68c82"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
3,P007272,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,200,185,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_ee612310-a1b0-4b21-b40c-52538f31855e_3d414a2d-5b95-474e-a029-9408208c11bc"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
4,P007273,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,185,243,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_c73c8574-3607-4efb-90fc-5fc6a888b34b_890687d1-e6d1-4fbf-9f3a-6264a0043c20"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
5,P007274,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,185,220,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_0cd8b144-33ad-4793-a384-40a31d28fab6_58225321-03fd-453a-aada-613378ae23ef"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
6,P007275,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,200,200,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_80637fe6-9592-4afa-a11c-bf4da3e0411f_7f7a3079-b0a7-4207-93fb-c676eeb0016c"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
7,P007276,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,200,245,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_85ce4ccb-b34c-40fc-8e3d-4fa044f0e140_ac48b058-7fb9-4ba9-8724-28069dafd0a7"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
8,P007277,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,140,75,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_bed9ff9c-1276-4578-b8d3-e38794ee751e_2e0f01cd-3e11-48be-9aba-f39878d0f7cf"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
9,P007278,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,181,283,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_d1dfbd36-33dc-437b-a147-565ecaff81a8_daee5bf3-8b0f-4a2b-92bf-e27e9e0d8e20"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
